100 101
1 8 64
1 24 91
1 2 80
2 50 97
2 3 63
2 9 81
3 4 21
3 5 48
3 77 93
4 22 3
4 13 83
4 6 19
5 16 15
5 29 34
6 10 29
6 39 7
6 14 95
6 7 26
7 15 43
7 49 99
7 54 82
7 26 47
7 27 1
7 93 11
8 31 40
9 64 96
9 65 67
9 11 2
9 20 46
10 12 37
10 45 24
11 68 22
12 34 78
13 89 16
14 32 100
14 18 79
15 55 18
15 38 58
16 48 42
16 17 51
16 19 89
17 67 36
17 61 32
17 62 87
19 58 55
19 59 77
20 60 8
20 21 72
21 33 60
21 35 12
21 86 56
21 23 30
22 28 27
24 36 65
24 41 17
24 25 85
26 53 84
26 30 5
27 44 70
27 85 49
28 81 50
28 98 68
29 70 25
30 84 45
31 51 101
33 95 61
34 47 44
35 42 62
35 83 88
35 37 94
36 88 90
38 40 13
38 100 75
39 56 69
39 50 305
40 43 41
41 99 86
41 71 73
42 64 294
42 69 9
43 57 66
43 66 71
45 52 57
45 46 92
45 87 59
46 76 23
47 90 35
48 97 52
51 91 4
51 63 20
54 94 74
59 75 53
65 79 28
66 72 54
69 78 38
71 80 39
71 73 76
73 74 10
76 92 31
77 82 14
89 96 33
